"GAME_ID","GAME_DATE","SEASON_TYPE","MATCHUP","HOME_TEAM","AWAY_TEAM","nh","j3210","j45"
"0020800138",2008-11-15,"Regular Season","NOH @ HOU","Houston Rockets","New Orleans Hornets","j3210",915,333
"0020800138",2008-11-15,"Regular Season","NOH @ HOU","Houston Rockets","New Orleans Hornets","j45",382,1250
"0020800139",2008-11-15,"Regular Season","BOS @ MIL","Milwaukee Bucks","Boston Celtics","j3210",1013,821
"0020800139",2008-11-15,"Regular Season","BOS @ MIL","Milwaukee Bucks","Boston Celtics","j45",118,928
"0020800140",2008-11-16,"Regular Season","MIA @ TOR","Toronto Raptors","Miami Heat","j3210",923,222
"0020800140",2008-11-16,"Regular Season","MIA @ TOR","Toronto Raptors","Miami Heat","j45",347,1388
"0020800143",2008-11-16,"Regular Season","MIN @ DEN","Denver Nuggets","Minnesota Timberwolves","j3210",1417,130
"0020800143",2008-11-16,"Regular Season","MIN @ DEN","Denver Nuggets","Minnesota Timberwolves","j45",475,858
"0020800144",2008-11-16,"Regular Season","DET @ PHX","Phoenix Suns","Detroit Pistons","j3210",647,710
"0020800144",2008-11-16,"Regular Season","DET @ PHX","Phoenix Suns","Detroit Pistons","j45",524,999
"0020800145",2008-11-16,"Regular Season","SAS @ SAC","Sacramento Kings","San Antonio Spurs","j3210",1031,82
"0020800145",2008-11-16,"Regular Season","SAS @ SAC","Sacramento Kings","San Antonio Spurs","j45",803,964
"0020800146",2008-11-17,"Regular Season","HOU @ OKC","Oklahoma City Thunder","Houston Rockets","j3210",1270,270
"0020800146",2008-11-17,"Regular Season","HOU @ OKC","Oklahoma City Thunder","Houston Rockets","j45",155,1185
"0020800150",2008-11-18,"Regular Season","ATL @ IND","Indiana Pacers","Atlanta Hawks","j3210",1215,117
"0020800150",2008-11-18,"Regular Season","ATL @ IND","Indiana Pacers","Atlanta Hawks","j45",712,836
"0020800151",2008-11-18,"Regular Season","TOR @ ORL","Orlando Magic","Toronto Raptors","j3210",688,106
"0020800151",2008-11-18,"Regular Season","TOR @ ORL","Orlando Magic","Toronto Raptors","j45",620,1466
"0020800153",2008-11-18,"Regular Season","NYK @ BOS","Boston Celtics","New York Knicks","j3210",789,530
"0020800153",2008-11-18,"Regular Season","NYK @ BOS","Boston Celtics","New York Knicks","j45",482,1079
"0020800154",2008-11-18,"Regular Season","CLE @ NJN","New Jersey Nets","Cleveland Cavaliers","j3210",1031,293
